source_id,model,task,original_score,reasoning_score,category,fact_scores,primitive,application_eligible,manual_application_failure,question
medmcqa-0fc0b4ce-9bfd-48a2-920d-88c67e2c4e9c,rl,case,2,1,some_facts_consistently_wrong,"[[2, 0], [0, 0]]",False,True,,"Medical question:
A healthy 26-year-old woman undergoes cesarean delivery for fetal distress during her first pregnancy, which was complicated by mild hypertension. Two days postpartum, she develops headache and seizures without proteinuria. CT shows a 2 × 3 cm parasagittal hematoma. What is the most likely diagnosis?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-1d7c2dff-73e6-46d8-8d10-ab6ee7464701,reference,case,0,0,some_facts_consistently_wrong,"[[2, 0], [0, 0]]",False,True,,"Medical question:
A 10-year-old boy with a seizure disorder has a vascular facial plaque along the ophthalmic and maxillary divisions of the trigeminal nerve. The lesion has been present since birth without a change in morphology. What is the most likely diagnosis?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-1d7c2dff-73e6-46d8-8d10-ab6ee7464701,rl,case,0,0,some_facts_consistently_wrong,"[[2, 0], [0, 0]]",False,True,,"Medical question:
A 10-year-old boy with a seizure disorder has a vascular facial plaque along the ophthalmic and maxillary divisions of the trigeminal nerve. The lesion has been present since birth without a change in morphology. What is the most likely diagnosis?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-605c9835-95d4-4a5e-b400-09bf38e75e4c,reference,case,0,0,some_facts_consistently_wrong,"[[0, 0], [1, 1]]",False,True,,"Medical question:
An adolescent girl has episodes of dropping objects from her hands, especially in the morning and during examinations, without loss of consciousness. Her cousin has epilepsy, and EEG shows epileptiform spikes. What is the most likely diagnosis?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-605c9835-95d4-4a5e-b400-09bf38e75e4c,rl,case,0,0,some_facts_consistently_wrong,"[[0, 0], [1, 1]]",False,True,,"Medical question:
An adolescent girl has episodes of dropping objects from her hands, especially in the morning and during examinations, without loss of consciousness. Her cousin has epilepsy, and EEG shows epileptiform spikes. What is the most likely diagnosis?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-fa304b14-4fa8-415b-8fba-3e670529cc8a,reference,case,2,0,partial_or_wording_sensitive,"[[2, 0], [2, 1]]",False,True,,"Medical question:
A 28-year-old woman has recurrent pregnancy losses and a four-year history of calf pain suggestive of venous thrombosis. Which congenital anticoagulant-protein deficiency is the likely underlying cause?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-fa304b14-4fa8-415b-8fba-3e670529cc8a,rl,case,2,0,partial_or_wording_sensitive,"[[2, 0], [2, 1]]",False,True,,"Medical question:
A 28-year-old woman has recurrent pregnancy losses and a four-year history of calf pain suggestive of venous thrombosis. Which congenital anticoagulant-protein deficiency is the likely underlying cause?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-91ef49a3-d73b-408b-abf1-0fbfe43805dd,reference,case,2,2,all_probed_facts_correct,"[[2, 2]]",True,False,,"Medical question:
A 70-year-old patient has a cheek lesion with raised pearly borders and surface telangiectasias. What is the most likely diagnosis?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-91ef49a3-d73b-408b-abf1-0fbfe43805dd,rl,case,2,2,all_probed_facts_correct,"[[2, 2]]",True,False,,"Medical question:
A 70-year-old patient has a cheek lesion with raised pearly borders and surface telangiectasias. What is the most likely diagnosis?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-02e841ba-5ecf-4f3b-974e-e1a077bcae5a,reference,case,0,0,partial_or_wording_sensitive,"[[1, 0], [2, 2]]",False,True,,"Medical question:
A child who previously completed a full rabies vaccination series presents after a new exposure with an oozing wound on the great toe. The pet involved was reportedly vaccinated. What rabies post-exposure prophylaxis should the child receive?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-02e841ba-5ecf-4f3b-974e-e1a077bcae5a,rl,case,0,0,partial_or_wording_sensitive,"[[1, 0], [2, 2]]",False,True,,"Medical question:
A child who previously completed a full rabies vaccination series presents after a new exposure with an oozing wound on the great toe. The pet involved was reportedly vaccinated. What rabies post-exposure prophylaxis should the child receive?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-e7278113-c555-4128-a8df-cbd10ca7833f,reference,case,0,0,partial_or_wording_sensitive,"[[1, 1], [0, 2]]",False,True,,"Medical question:
A patient receives 200 mg of a drug. After 90 minutes, 75 mg has been eliminated. Assuming first-order kinetics and that the same fraction remains after each 90-minute interval, how much drug will remain after six hours?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-e7278113-c555-4128-a8df-cbd10ca7833f,rl,case,0,0,partial_or_wording_sensitive,"[[1, 1], [0, 2]]",False,True,,"Medical question:
A patient receives 200 mg of a drug. After 90 minutes, 75 mg has been eliminated. Assuming first-order kinetics and that the same fraction remains after each 90-minute interval, how much drug will remain after six hours?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-4e8f5ba7-452a-464f-a328-d8b96eafade6,reference,case,1,1,partial_or_wording_sensitive,"[[2, 1], [0, 1]]",False,True,,"Medical question:
A 5-year-old child presents with continuous fever and features of sepsis. Blood pressure is 90/60 mm Hg, pulse is 144/min, and respiratory rate is 30/min. What initial fluid resuscitation should be given?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-4e8f5ba7-452a-464f-a328-d8b96eafade6,rl,case,1,1,partial_or_wording_sensitive,"[[2, 1], [0, 2]]",False,True,,"Medical question:
A 5-year-old child presents with continuous fever and features of sepsis. Blood pressure is 90/60 mm Hg, pulse is 144/min, and respiratory rate is 30/min. What initial fluid resuscitation should be given?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-7f0270fd-7d45-43ec-b77e-0038115bb845,reference,case,2,2,all_probed_facts_correct,"[[2, 2]]",False,False,,"Medical question:
A pregnant woman is HBsAg-positive and anti-HBe-positive. What is the approximate risk of perinatal hepatitis B transmission to her child?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-7f0270fd-7d45-43ec-b77e-0038115bb845,rl,case,2,2,partial_or_wording_sensitive,"[[0, 2]]",False,False,,"Medical question:
A pregnant woman is HBsAg-positive and anti-HBe-positive. What is the approximate risk of perinatal hepatitis B transmission to her child?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-19567e6c-e0f7-4201-816d-23b58786f586,reference,case,0,0,partial_or_wording_sensitive,"[[0, 1]]",False,False,,"Medical question:
After receiving plasma protein fraction, a patient develops breathing difficulty, tachycardia, and tachypnea, with a bat-wing pattern on chest radiography. What is the most likely cause of these findings?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-19567e6c-e0f7-4201-816d-23b58786f586,rl,case,0,0,all_probed_facts_wrong,"[[0, 0]]",False,False,,"Medical question:
After receiving plasma protein fraction, a patient develops breathing difficulty, tachycardia, and tachypnea, with a bat-wing pattern on chest radiography. What is the most likely cause of these findings?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-f87f2d68-4192-4a90-9df8-16057f7edbf3,reference,case,0,0,partial_or_wording_sensitive,"[[2, 1]]",False,False,,"Medical question:
A 26-year-old primigravida with juvenile myoclonic epilepsy is four months pregnant and has remained on sodium valproate. What should be advised regarding her antiepileptic treatment at this stage?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-f87f2d68-4192-4a90-9df8-16057f7edbf3,rl,case,0,0,partial_or_wording_sensitive,"[[2, 1]]",False,False,,"Medical question:
A 26-year-old primigravida with juvenile myoclonic epilepsy is four months pregnant and has remained on sodium valproate. What should be advised regarding her antiepileptic treatment at this stage?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-890982b8-3906-44be-aff1-437a7c6c373d,reference,case,0,0,all_probed_facts_correct,"[[2, 2]]",False,False,,"Medical question:
A couple has experienced infertility for four years, and evaluation of the female partner is normal. The male partner has a semen volume of 0.8 mL on two samples, absent seminal fructose, and azoospermia. What investigation should be performed next?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-890982b8-3906-44be-aff1-437a7c6c373d,rl,case,1,0,all_probed_facts_correct,"[[2, 2]]",False,False,,"Medical question:
A couple has experienced infertility for four years, and evaluation of the female partner is normal. The male partner has a semen volume of 0.8 mL on two samples, absent seminal fructose, and azoospermia. What investigation should be performed next?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-2c7e29e5-6824-4217-af1e-7c5b40d57ea5,reference,case,0,0,partial_or_wording_sensitive,"[[2, 0], [1, 1]]",False,True,,"Medical question:
A 40-year-old woman taking medication for psychiatric illness and hypertension presents with NYHA class III heart failure, dyspnea, pedal edema, a potassium level of 5.5 mEq/L, and a creatinine level of 2.5 mg/dL. Which heart-failure medication should be avoided because of her hyperkalemia and renal dysfunction?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-2c7e29e5-6824-4217-af1e-7c5b40d57ea5,rl,case,0,0,partial_or_wording_sensitive,"[[2, 0], [1, 1]]",False,True,,"Medical question:
A 40-year-old woman taking medication for psychiatric illness and hypertension presents with NYHA class III heart failure, dyspnea, pedal edema, a potassium level of 5.5 mEq/L, and a creatinine level of 2.5 mg/dL. Which heart-failure medication should be avoided because of her hyperkalemia and renal dysfunction?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-479e5139-f840-4d95-b13b-d1a95e2ff3e4,reference,case,2,2,all_probed_facts_correct,"[[2, 2]]",True,False,,"Medical question:
A patient with endometrial carcinoma is treated with external-beam irradiation of the whole pelvis. Which pelvic organ is most radiosensitive?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-479e5139-f840-4d95-b13b-d1a95e2ff3e4,rl,case,2,2,all_probed_facts_correct,"[[2, 2]]",True,False,,"Medical question:
A patient with endometrial carcinoma is treated with external-beam irradiation of the whole pelvis. Which pelvic organ is most radiosensitive?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-4982eef9-e03f-4b52-af7d-e0e2f588358e,reference,case,0,0,some_facts_consistently_wrong,"[[0, 0], [2, 2]]",False,True,,"Medical question:
A 29-year-old primigravida with juvenile myoclonic epilepsy is four months pregnant and has been taking sodium valproate regularly. She requests a change in her antiepileptic treatment. What should she be advised?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-4982eef9-e03f-4b52-af7d-e0e2f588358e,rl,case,0,0,some_facts_consistently_wrong,"[[0, 0], [2, 2]]",False,True,,"Medical question:
A 29-year-old primigravida with juvenile myoclonic epilepsy is four months pregnant and has been taking sodium valproate regularly. She requests a change in her antiepileptic treatment. What should she be advised?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-2b110e57-8338-4189-86e2-cbea7d761c30,reference,case,0,0,all_probed_facts_wrong,"[[0, 0], [0, 0]]",False,True,,"Medical question:
A patient with uncontrolled diabetes has a history of pancreatitis and a family history of urinary bladder carcinoma and does not want injectable treatment. Which oral glucose-lowering drug can be added?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-2b110e57-8338-4189-86e2-cbea7d761c30,rl,case,0,0,all_probed_facts_wrong,"[[0, 0], [0, 0]]",False,True,,"Medical question:
A patient with uncontrolled diabetes has a history of pancreatitis and a family history of urinary bladder carcinoma and does not want injectable treatment. Which oral glucose-lowering drug can be added?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-94b13f6b-7f81-41a0-bbef-d22271e45a47,reference,case,0,0,partial_or_wording_sensitive,"[[2, 2], [0, 2]]",False,True,,"Medical question:
A patient with headache and fever has a hemoglobin level of 16 g/dL, leukocyte count of 21,000/µL, and platelet count of 375,000/µL. The differential count shows 25% neutrophils, 20% lymphocytes, 40% myelocytes and metamyelocytes, and 5% eosinophils. What investigation should be performed next to distinguish chronic myeloid leukemia from reactive leukocytosis?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-94b13f6b-7f81-41a0-bbef-d22271e45a47,rl,case,0,0,partial_or_wording_sensitive,"[[2, 2], [0, 2]]",False,True,,"Medical question:
A patient with headache and fever has a hemoglobin level of 16 g/dL, leukocyte count of 21,000/µL, and platelet count of 375,000/µL. The differential count shows 25% neutrophils, 20% lymphocytes, 40% myelocytes and metamyelocytes, and 5% eosinophils. What investigation should be performed next to distinguish chronic myeloid leukemia from reactive leukocytosis?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-bdc34663-b39a-47bb-b034-7f804e437c09,reference,case,2,2,partial_or_wording_sensitive,"[[2, 0]]",True,False,,"Medical question:
A young man taking 5 mg of haloperidol for several days develops four days of inner restlessness and a compelling urge to move. What is the diagnosis?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-bdc34663-b39a-47bb-b034-7f804e437c09,rl,case,2,2,partial_or_wording_sensitive,"[[2, 0]]",True,False,,"Medical question:
A young man taking 5 mg of haloperidol for several days develops four days of inner restlessness and a compelling urge to move. What is the diagnosis?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-99f08890-7505-4062-9293-1f135de62e5c,reference,case,1,1,partial_or_wording_sensitive,"[[1, 1]]",True,False,,"Medical question:
A 16-year-old boy has nasal obstruction and recurrent epistaxis. CT shows an enhancing nasopharyngeal mass with minimal extension into the sphenoid sinus and no lateral extension. What is the stage of this juvenile nasopharyngeal angiofibroma under the Sessions–Radkowski staging system?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-99f08890-7505-4062-9293-1f135de62e5c,rl,case,1,1,partial_or_wording_sensitive,"[[1, 1]]",True,False,,"Medical question:
A 16-year-old boy has nasal obstruction and recurrent epistaxis. CT shows an enhancing nasopharyngeal mass with minimal extension into the sphenoid sinus and no lateral extension. What is the stage of this juvenile nasopharyngeal angiofibroma under the Sessions–Radkowski staging system?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
